,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,price,mile_age,make,model,year,fuel,power,car_body_style,vehicle_condition,color,transmission,engine_size,description,linkofproduct
27,27.0,27.0,27.0,KIA RIO COUPEE PREMIERE MAIN TOUTE OPTIONS TEL 23 099 699,38 700 DT,67000.0,Kia,Rio,2017.0,Essence,5.0,Compacte,Avec kilométrage,Noir,Manuelle,1.4,KIA RIO COUPEE PREMIERE MAIN ETAT ORIGINE TRES BIEN ENTRETENUE PHASE 3 TOUTE OPTIONS AVEC EN PLUS INTERIEUR EN CUIR .......TEL 23 099 699,https://www.tayara.tn/listings/voitures-9/86aafd14-c538-4a88-9080-ceb892772c87/kia-rio-coupee-premiere-main-toute-options-tel-23-099-699
28,28.0,28.0,28.0,PEUGEOT 106,0 DT,271000.0,Peugeot,106,1997.0,Essence,4.0,Compacte,Avec kilométrage,Blanc,Manuelle,1.2,PEUGEOT 106,https://www.tayara.tn/listings/voitures-9/8545877a-1717-45a0-abed-7a2f23ab79b2/peugeot-106
29,29.0,29.0,29.0,Megane 1.5dci ndhfa,17 DT,379.0,Renault,Megane,2005.0,Diesel,5.0,Pick up,Nouveau,Multicolore,Manuelle,1.5,Karhba ndihfa barcha w tt options forsa w ili iheb iji marhbe,https://www.tayara.tn/listings/voitures-9/86f584a3-29b6-43fb-ae41-f14101ed9e59/megane-1-5dci-ndhfa
30,30.0,30.0,30.0,🏁 Renault CLio 3 🏁,24 800 DT,160000.0,Renault,Clio,2008.0,Essence,5.0,1.2,,Manuelle,,,🏁 Renault CLio 3 🏁,https://www.tayara.tn/listings/voitures-9/d39c6be8-9cbc-4a64-b1f5-68806ab52475/%F0%9F%8F%81-renault-clio-3-%F0%9F%8F%81
31,31.0,31.0,31.0,Toyota Hilux,0 DT,400000.0,Toyota,Hilux,2009.0,Diesel,10.0,Pick up,Avec kilométrage,Noir,Manuelle,2.5,première main en bonne état,https://www.tayara.tn/listings/voitures-9/3c87ee3f-42c3-408b-b86f-c3c7bafd4b2a/toyota-hilux
32,32.0,32.0,32.0,207 e-hdi,29 000 DT,630000.0,Peugeot,207,2011.0,Diesel,4.0,Avec kilométrage,Manuelle,Jaune,1.4,,Taxi 207 e-hdi avec 4 ans rokhsa toit panoramique toute option,https://www.tayara.tn/listings/voitures-9/00160abe-04d7-4b91-b2c6-4d9010aadaec/207-e-hdi
33,33.0,33.0,33.0,Class E encore dans l’emballage,0 DT,20000.0,Mercedes-Benz,Classe E,2015.0,Essence,10.0,Berline,Avec kilométrage,Noir,Automatique,2.0,A vendre une magnifique class E,https://www.tayara.tn/listings/voitures-9/7a8d645f-9713-4737-8c7e-e78716e9a381/class-e-encore-dans-l%E2%80%99emballage-
34,34.0,34.0,34.0,Tres belle golf 3 essance,17 DT,295.0,Volkswagen,Golf 3,1997.0,Essence,6.0,Compacte,RS,Vert,Manuelle,1.4,Avendre golf 3 match en tres bonne etat.4 viltre électrique double airbag assister fermeture centrale d'origine et jantes allu.,https://www.tayara.tn/listings/voitures-9/c45a3f3e-8df1-4b5a-be94-9e9533a1eb52/tres-belle-golf-3-essance-
35,35.0,35.0,35.0,Clio dci,14 500 DT,200.0,Renault,Clio,2004.0,Diesel,6.0,Compacte,Avec kilométrage,Blanc,Manuelle,1.5,Pré campus dci 2porte tt option importe de la France mouter d'origine impeccable poste d'origine commande ou voulon chêne jdida vidange jdid 3ando 1 moi 4 pneus bon état 2 vitres électrique et rideau vitre arrière d'origine climatisation,https://www.tayara.tn/listings/voitures-9/4a428abc-ea1a-4be1-9314-d656afb64292/clio-dci
36,36.0,36.0,36.0,tunis,0 DT,130.0,AC,Cobra,2013.0,Essence,12.0,1.1,,Automatique,,,سيارة,https://www.tayara.tn/listings/voitures-9/4b68ecae-4750-481b-8e9a-238d6d8e7fb2/tunis
37,37.0,37.0,37.0,Belle Ford Fiesta 2011 essence 5CV,23 500 DT,205000.0,Ford,Fiesta,2011.0,Essence,5.0,Compacte,Avec kilométrage,Gris,Manuelle,1.4,Belle Ford Fiesta 5CV jamais accidentée :,https://www.tayara.tn/listings/voitures-9/ae5ff159-b07b-41fe-aa3b-36035bab26eb/belle-ford-fiesta-2011-essence-5cv-
38,38.0,38.0,38.0,Fiat tipo lellkesseb,1 DT,240.0,Fiat,Tipo,1995.0,Essence,7.0,Berline,Avec kilométrage,Blanc,Manuelle,1.4,Karhba ndifa mta3 ksiba awrakha mrigla 4 roues neufs moteur intact tola ndifa intérieur neuf,https://www.tayara.tn/listings/voitures-9/cd96ebd2-a9fc-46cc-b0b9-7b2eaeb70a7c/fiat-tipo-lellkesseb-
39,39.0,39.0,39.0,polo 6,0 DT,240.0,Volkswagen,Polo,2006.0,Essence,4.0,Berline,Avec kilométrage,Gris,Manuelle,1.2,"à vendre une belle polo 6 2eme main 4cv voiture propre robuste et économique,... avec peinture origine.",https://www.tayara.tn/listings/voitures-9/f3b1c1bc-bf70-4442-87f5-1b7b5bf1ab58/polo-6
40,40.0,40.0,40.0,peugeot bipper,0 DT,124000.0,Peugeot,Bipper,2011.0,Diesel,4.0,Monospace,Avec kilométrage,Bleu,Manuelle,1.2,Je mets peugeot bipper 04 cv mazout 05 places année 2011 roulée seulement 124mkm état d origine toutes options,https://www.tayara.tn/listings/voitures-9/79280c08-8953-40c6-8fa0-e8a88cf27738/peugeot-bipper
41,41.0,41.0,41.0,🎖️🎖️🎖️rang rover evoque 🎖️🎖️🎖️,0 DT,130000.0,Land Rover,Range Rover Evoque,2015.0,Diesel,11.0,4 x 4,Avec kilométrage,Noir,Automatique,2.2,🚦Agence CROWN AUTO🚦,https://www.tayara.tn/listings/voitures-9/0473f670-8f96-4440-8aba-907168fcc461/%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8Frang-rover-evoque-%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F
42,42.0,42.0,42.0,B9 CITROEN,0 DT,130000.0,Citroen,Berlingo,2016.0,Diesel,5.0,Autres,Avec kilométrage,Blanc,Manuelle,>4.0,A VENDRE CHEZ KAMMOUN AUTOS,https://www.tayara.tn/listings/voitures-9/b8fe1f84-c90a-4cf6-99dd-4a20a49137c2/b9-citroen
43,43.0,43.0,43.0,A Vendre 205,4 DT,300.0,Peugeot,205,1995.0,Essence,4.0,Compacte,Avec kilométrage,Blanc,Manuelle,1.1,205 moteur 104,https://www.tayara.tn/listings/voitures-9/a3434bcb-671f-4cdf-9f0a-f605939f59eb/a-vendre-205-
44,44.0,44.0,44.0,Renault Express diezel,3 800 DT,400.0,Renault,Express,1995.0,Diesel,6.0,Autres,Avec kilométrage,Blanc,Manuelle,1.9,Renault Express diezel,https://www.tayara.tn/listings/voitures-9/826880b9-d61c-4d34-9677-9e746720e30e/renault-express-diezel
45,45.0,45.0,45.0,MERCEDES E200 CGI COUPE AMG,95 000 DT,96000.0,Mercedes-Benz,Classe E,2012.0,Essence,11.0,Autres,Avec kilométrage,Blanc,Automatique,1.8,A vendre Mercedes E200 CGI coupé AMG,https://www.tayara.tn/listings/voitures-9/d74caa36-14c0-4688-b3e3-911e345d9e42/mercedes-e200-cgi-coupe-amg
46,46.0,46.0,46.0,Golf 5 1.9 TDI,26 500 DT,300.0,Volkswagen,Golf 5,2008.0,Diesel,6.0,1.9,,Manuelle,,,,https://www.tayara.tn/listings/voitures-9/33d58ea0-ca47-4d2b-82e8-de1f38379e63/golf-5-1-9-tdi-
47,47.0,47.0,47.0,fiat grandi Punto pop,0 DT,84000.0,Fiat,Grande Punto,2016.0,Essence,4.0,Autres,Nouveau,Blanc,Manuelle,1.2,belle voiture fiat grandi Punto pop.,https://www.tayara.tn/listings/voitures-9/670777aa-4a01-4bbd-b203-3010b9086e72/fiat-grandi-punto-pop
48,48.0,48.0,48.0,Moteur Trafic,10 000 DT,300000.0,Renault,Trafic,1990.0,Diesel,8.0,Berline,Avec kilométrage,Blanc,Manuelle,1.9,Moteur Trafic bel boita en marche jaw bahi .29439667,https://www.tayara.tn/listings/voitures-9/44eead11-b75e-4969-9737-c9ec4bc769a0/moteur-trafic-
49,49.0,49.0,49.0,tunis,20 DT,180000.0,Fiat,Grande Punto,2012.0,Essence,5.0,Autres,Avec kilométrage,Bleu,Manuelle,1.2,voiture,https://www.tayara.tn/listings/voitures-9/7124d517-f82e-487b-a67d-f661c2108614/tunis
50,50.0,50.0,50.0,🎖️🎖️🎖️ Volkswagen Bora🎖️🎖️🎖️,24 000 DT,168000.0,Volkswagen,Bora,2005.0,Essence,7.0,Berline,Avec kilométrage,Bleu,Manuelle,1.6,🚦Agence CROWN AUTO🚦,https://www.tayara.tn/listings/voitures-9/c9b89d45-b620-45a7-b288-a863a5f3d762/%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F-volkswagen-bora%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F%F0%9F%8E%96%EF%B8%8F
51,51.0,51.0,51.0,polo ndhyfa,14 DT,12548.0,Volkswagen,Polo,0.0,Essence,1234567890.0,>4.0,,Manuelle,,,21 290 611,https://www.tayara.tn/listings/voitures-9/c905e2fc-c966-4170-ab11-ea97ff7f15ef/polo-ndhyfa
52,52.0,52.0,52.0,Av ou échange propre Dasia,24 500 DT,122.0,Dacia,Sandero,2014.0,Essence,5.0,Compacte,Avec kilométrage,Bleu,Manuelle,1.2,voiture propre toutes option mtaa ksiba,https://www.tayara.tn/listings/voitures-9/58e89182-7d27-4050-913e-edf0720ce9fc/av-ou-%C3%A9change-propre-dasia
53,53.0,53.0,53.0,Toyota Land cruser lj 77,25 DT,29964926.0,Toyota,Land Cruiser,1995.0,Diesel,10.0,4 x 4,Manuelle,Noir,2.8,,,https://www.tayara.tn/listings/voitures-9/9d846ea7-bc2b-4da9-baf6-d898b8131aaa/toyota-land-cruser-lj-77
54,54.0,54.0,54.0,301,240 000 DT,174000.0,Peugeot,301,2013.0,Essence,4.0,3.0,,Manuelle,,,301,https://www.tayara.tn/listings/voitures-9/c606d163-0526-4bc4-bd47-f600ab357d00/301
55,55.0,55.0,55.0,Dacia Dokker Opportunité pour les commerçants,24 500 DT,139538.0,Dacia,Dokker,2016.0,Diesel,6.0,Utilitaire,Avec kilométrage,Blanc,Manuelle,1.5,A vendre une 🚘 dacia dokker 1ère main,https://www.tayara.tn/listings/voitures-9/f5552f03-e940-49c2-9463-61c7b102b239/dacia-dokker-opportunit%C3%A9-pour-les-commer%C3%A7ants
56,56.0,56.0,56.0,range rover evoque,0 DT,50000.0,Land Rover,Range Rover Evoque,2018.0,Diesel,8.0,4 x 4,Avec kilométrage,Noir,Automatique,2.0,🚘 RANGE ROVER EVOQUE,https://www.tayara.tn/listings/voitures-9/608506b7-3c7b-40ea-8471-98b81e942b25/range-rover-evoque
57,57.0,57.0,57.0,NISSAN MICRA PREMIERE MAIN TEL 56 302 133,0 DT,68000.0,Nissan,Micra,2017.0,Essence,5.0,Compacte,Avec kilométrage,Blanc,Manuelle,1.2,NISSAN MICRA TOUTES OPTIONS ETAT ORIGINE COMME NEUF PREMIERE MAIN TEL 56 302 133,https://www.tayara.tn/listings/voitures-9/51d6d0ab-ee3d-4e06-9b62-d06144fcc547/nissan-micra-premiere-main-tel-56-302-133
58,58.0,58.0,58.0,60mill km année 2016,69 000 DT,60.0,Mercedes-Benz,Classe A,2016.0,Essence,6.0,Compacte,Nouveau,Noir,Manuelle,1.8,"Mercedes class a 180, boîte 6, modele 2016, 60 mill km, entretien régulier chez maison Mercedes, une voiture encore neuve, aucune égratignures, peinture d origine, encore dans l'emballage",https://www.tayara.tn/listings/voitures-9/be61d9db-0ee5-4cc9-9223-14b0cc681bf1/60mill-km-ann%C3%A9e-2016
59,59.0,59.0,59.0,Polo sedan 1.4 L 5 cv,30 500 DT,217.0,Volkswagen,Polo,2016.0,Essence,5.0,Berline,Nouveau,Camel,Manuelle,1.4,🇩🇪🇩🇪 VOLKSWAGEN POLO SEDAN 🇩🇪🇩🇪,https://www.tayara.tn/listings/voitures-9/ab06a4e6-5213-4ed9-bb7b-59327d2e8231/polo-sedan-1-4-l-5-cv
60,60.0,60.0,60.0,E 220,15 400 DT,400000.0,Mercedes-Benz,220,2001.0,Diesel,7.0,Compacte,Avec kilométrage,Gris,Manuelle,2.0,mercedes 4 phare e220 mazout 5 cylindre 5 vitesse moteur 3adi mikanik mbadel jdid karahba jamais accidenté awra9ha 5alsin toute option avec 4 jantes alum . toit ouvrant,https://www.tayara.tn/listings/voitures-9/e7c0db48-0123-49d1-a07b-d11bff03f1a5/e-220
61,61.0,61.0,61.0,Opel corsa c basic 4ch 5 vites 3cilindre,12 700 DT,352.0,Opel,Corsa,2004.0,Essence,4.0,Berline,Nouveau,Blanc,Manuelle,1.3,55073745,https://www.tayara.tn/listings/voitures-9/50741f3f-30a4-4418-9a35-4905366cd5e7/opel-corsa-c-basic-4ch-5-vites-3cilindre
62,62.0,62.0,62.0,Citroen Xantia,0 DT,232.0,Citroen,Xsara,1997.0,Diesel,6.0,Berline,Avec kilométrage,Bleu,Manuelle,1.9,très propre Citroen tout opts sauf clim,https://www.tayara.tn/listings/voitures-9/4804e58e-c39e-4199-b612-2c30a263eeef/citroen-xantia
63,63.0,63.0,63.0,Nissan QASHQAI FIN 2011 6 CH 100 000 km essence ⛽,0 DT,100000.0,Nissan,Qashqai,2011.0,Essence,6.0,4 x 4,RS,Bleu,Manuelle,1.6,Pak total toit panoramique GPS très propre,https://www.tayara.tn/listings/voitures-9/47934d4b-ee4b-44ab-8939-abf2d19e9ecf/nissan-qashqai-fin-2011-6-ch-100-000-km-essence-%E2%9B%BD-
64,64.0,64.0,64.0,MERCEDES-BENZ CLASSE S 350,1 DT,125398.0,Mercedes-Benz,Classe S,2007.0,Essence,19.0,Berline,Avec kilométrage,Argent,Automatique,2.5,A vendre Mercedes-Benz Class S 350L:,https://www.tayara.tn/listings/voitures-9/e3436403-0eb5-4358-b5f1-6b9e3891e8c4/mercedes-benz-classe-s-350
65,65.0,65.0,65.0,grand i10 Essence 5CV.,33 100 DT,77000.0,Hyundai,Grand i10,2017.0,Essence,5.0,Berline,Nouveau,Noir,Manuelle,1.2,Grand i10 Essence 5 CV,https://www.tayara.tn/listings/voitures-9/7725ef1f-8094-4daf-8028-fd992bda7abb/grand-i10-essence-5cv-
66,66.0,66.0,66.0,Toyot Prado Vx en excellente état,0 DT,270000.0,Toyota,Prado,2005.0,Diesel,11.0,4 x 4,Avec kilométrage,Bleu,Manuelle,3.0,"** Voiture tres propre, toutes en marche **",https://www.tayara.tn/listings/voitures-9/b7a96c90-79d8-47c6-9ccb-5cd563ad2438/toyot-prado-vx-en-excellente-%C3%A9tat
67,67.0,67.0,67.0,A vendre c-elysee,20 800 DT,118877.0,Citroen,C-Elysée,2015.0,Essence,5.0,Autres,Manuelle,Noir,1.5,,A Vendre citroen c-elysee 2015 en tres bon etat presque neuf,https://www.tayara.tn/listings/voitures-9/568a3b01-4180-4f56-817e-d9e296a54b84/a-vendre-c-elysee
68,68.0,68.0,68.0,kia Rio Coupé تسجيل أول,0 DT,118.0,Kia,Rio,2015.0,Essence,5.0,1.4,,Manuelle,,,"Avandre kia Rio coupé premiére main, 5 chevaux 4 cylindre, tout option sauf toit avec faible klm 118",https://www.tayara.tn/listings/voitures-9/0a644bc6-8288-4634-b0a1-17b5069a151a/kia-rio-coup%C3%A9-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%A3%D9%88%D9%84
69,69.0,69.0,69.0,isuzu super faster مواصفات خليجية,39 000 DT,0.0,Isuzu,D-MAX,2003.0,Diesel,10.0,Pick up,Avec kilométrage,Blanc,Manuelle,2.5,كرهبة باكو متاع كسيبة,https://www.tayara.tn/listings/voitures-9/46a21dbd-da83-4b18-afdc-759d3baad478/isuzu-super-faster-%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9
70,70.0,70.0,70.0,Passat TDi 1.6 bluemotion,0 DT,230000.0,Volkswagen,Passat,2011.0,Diesel,5.0,Berline,Nouveau,Gris,Manuelle,1.6,Un belle voiture tout op..................tion,https://www.tayara.tn/listings/voitures-9/b6971145-50de-4a6d-bafe-5317588d3666/passat-tdi-1-6-bluemotion
71,71.0,71.0,71.0,Mercedes-Benz classe E 220 CDI modèle 2012 boite auto importée tn220 Full option,0 DT,187000.0,Mercedes-Benz,Classe E,2012.0,Diesel,10.0,2.2,,Automatique,,,Page FB : Ben Amou Auto,https://www.tayara.tn/listings/voitures-9/dfcd1df8-95c2-40a6-abcb-9556a809b677/mercedes-benz-classe-e-220-cdi-mod%C3%A8le-2012-boite-auto-import%C3%A9e-tn220-full-option
72,72.0,72.0,72.0,Citroën berlingo b9 très bon état,25 000 DT,100.0,Citroen,Berlingo,2009.0,Diesel,6.0,Autres,Avec kilométrage,Blanc,Manuelle,1.6,,https://www.tayara.tn/listings/voitures-9/744a7789-fa99-4a7c-bcee-2ef4b33028b0/citro%C3%ABn-berlingo-b9-tr%C3%A8s-bon-%C3%A9tat-
73,73.0,73.0,73.0,205 junior,8 500 DT,200.0,Peugeot,205,1994.0,Essence,4.0,Berline,Nouveau,Gris,Manuelle,1.4,205 junior très bon état micanique impicable jamais accidenté salon propre 5 vitesse tout les papier en règle télé 98272689,https://www.tayara.tn/listings/voitures-9/bb1bc308-bcd9-465e-be70-b8fcdc9dc9f7/205-junior
