,name,price,mile_age,make,model,fuel,power,transmission,engine_size,description,linkofproduct,year
14,a v 406,11 000 DT,188000,Peugeot,406,Essence,11000,Camel,Compacte,a v ou echng 406 nthifa,https://www.tayara.tn/listings/voitures-9/b91e3f61-9f2b-4897-8996-0fd9bb957d5e/a-v-406,1997
15,106 peugeot,10 500 DT,999999999,Peugeot,106,Essence,4,Bleu,Compacte,A vendre peugeot 106 à hammam sousse,https://www.tayara.tn/listings/voitures-9/7b2e8cf4-2bc1-4b82-b6e2-e7eede7442d1/106-peugeot,1998
16,407 2L,21 500 DT,179,Peugeot,407,Diesel,8,Noir,Avec kilométrage,une belle 407 toute options,https://www.tayara.tn/listings/voitures-9/fede7b2d-cc8d-45db-bc4a-90844c86f8e7/407-2l,2004
17,Avandre voiture,27 000 DT,190000,Mahindra,Hover,Diesel,8,Blanc,Berline,Avandre mahindra à bon état modèle 2015 mahich khadma rzan avec kilométrage 190 alf kol Chay 3al l'origine et 8 ch turbo numéro 21973758 le Sérieux svp,https://www.tayara.tn/listings/voitures-9/05a4da3f-1895-46b8-b467-83d1412e6f6c/avandre-voiture,2015
18,R9 ndthyfa mta3 kssiba awr9ha 5alsa moutor r19 ndthif toula ndthifa awr9ha 5alsa,6 DT,1111111,Renault,R9,Essence,7,Manuelle,>4.0,moutre r 19 ndthyfe,https://www.tayara.tn/listings/voitures-9/3b6eff71-b578-476f-a155-5e2b484d194a/r9-ndthyfa-mta3-kssiba-awr9ha-5alsa-moutor-r19-ndthif-toula-ndthifa-awr9ha-5alsa,1982
19,Achat toutes voitures en panne,0 DT,200000,AC,GT 40,Essence,9,Gris,Autres,J'achète toute voiture en panne que ce soit panne électrique ou mécanique. Je vous épargne toute perte de temps. Vous pouvez me contacter par message et m'envoyer des photos du véhicule,https://www.tayara.tn/listings/voitures-9/e2702e40-82ab-4ef4-a5f6-b5f0a785b472/achat-toutes-voitures-en-panne,2000
20,FORD FIESTA,8 500 DT,77880,Ford,Fiesta,Essence,4,Noir,Avec kilométrage,Mtaa ksiba,https://www.tayara.tn/listings/voitures-9/50671a0c-33b0-40ce-93b8-04f2cc101989/ford-fiesta-,1999
21,Av voiture,4 800 DT,459,Ford,Sierra,Essence,5,Noir,Autres,Voiture Bonne état (motour ak7el. Boumba) Awra9ha mriigla. Kol Chay 5alsa. Mte3 kssiba..,https://www.tayara.tn/listings/voitures-9/6be87c48-73e1-4e0c-8450-410bffe8f30c/av-voiture,1987
22,golf 7 highline,0 DT,120,Volkswagen,Golf 7,Essence,5,Noir,Berline,A vendre une très belle golf 7 2eme main 1.2 TSI 110 cv boite 6 manuelle version highline jamais accidenté entretien à jour très bien équipé avec tout les détecteurs et les options de série plus,https://www.tayara.tn/listings/voitures-9/31e336f6-5228-4679-8c61-2ddaa2124dce/golf-7-highline,2015
23,A vendre ou échange 206 look. 27111565,18 300 DT,242,Peugeot,206,Essence,5,Noir,Berline,Tt option,https://www.tayara.tn/listings/voitures-9/9060c60d-b13b-4017-bfc2-cc683b496183/a-vendre-ou-%C3%A9change-206-look-27111565,2005
24,,5 500 DT,0,Volkswagen,Vento,Diesel,6,Noir,Berline,"A vendre Volkswagen VENTO 1.9 DIESEL , année 1996, état général acceptable, direction assistée, vitres électriques avant",https://www.tayara.tn/listings/voitures-9/4fc732fe-b9af-40a5-a40a-442f435a5ef5/volkswagen-vento,96
25,....,0 DT,500,Isuzu,D-MAX,Diesel,109,Blanc,Autres,....,https://www.tayara.tn/listings/voitures-9/5e6d2e02-4c24-4e9b-b18f-84e54651221f/-,2003
26,Pont arrière mercedes w210 kemel w nthif,1 100 DT,510,Mercedes-Benz,210,Diesel,55,Argent,Berline,Pont arrière mercedes w210,https://www.tayara.tn/listings/voitures-9/a759550a-17cf-4491-b77a-db0dcfe6d5ab/pont-arri%C3%A8re-mercedes-w210-kemel-w-nthif,2000
27,Belle R5 58671505,3 500 DT,25000,Renault,R5,Essence,4,Orange,Berline,A vendre au échange Karhba ndhifa wra9ha 5alsa numéro 58671505,https://www.tayara.tn/listings/voitures-9/8908dbed-86fe-4840-8405-a74e90397e4c/belle-r5-58671505-,1982
28,Peugeot expert nouveau,0 DT,400,Peugeot,Expert,Diesel,27557337,Blanc,Berline,Peugeot expert nouveau seri 135,https://www.tayara.tn/listings/voitures-9/30e8d2a2-87c3-405d-8a05-c26a911f9244/peugeot-expert-nouveau,20
29,Citroen C-Elysee,34 500 DT,67000,Citroen,C-Elysée,Essence,5,Gris,Berline,Kilometrage: 67000,https://www.tayara.tn/listings/voitures-9/0b3fc421-7c54-434d-be1f-0ad30c74fee2/citroen-c-elysee,2018
30,SEAT LEON STYLE,47 000 DT,130000,Seat,Leon,Essence,6,Automatique,1.2,SEAT LEON STYLE +,https://www.tayara.tn/listings/voitures-9/9c146fcd-c200-4747-85d6-06c92ad64ac6/seat-leon-style,2014
31,citoren c4,0 DT,87300,Citroen,C4,Essence,6,Manuelle,1.4,cicitoren c4,https://www.tayara.tn/listings/voitures-9/a20f9a19-f6e8-4769-bd9b-897dec42bc26/citoren-c4,2013
32,VW POLO 6 1.4 TDI BLUE MOTION TT OPTION,20 600 DT,468000,Volkswagen,Polo,Diesel,4,Gris,Compacte,À vendre une polo 6 TDi 1.4 blue motion fin 2008 tt option importer de l’Allemagne fin 2011,https://www.tayara.tn/listings/voitures-9/c9cc929e-8948-4b3a-8deb-ccc050643d6b/vw-polo-6-1-4-tdi-blue-motion-tt-option,2009
33,Ford Focus Titanium EcoBoost,42 000 DT,264000,Ford,Focus,Essence,5,Noir,Berline,Disponible à la vente avec :,https://www.tayara.tn/listings/voitures-9/cf415c48-b6d0-42b7-9367-e7cd2e282e22/ford-focus-titanium-ecoboost,2016
34,Fiat Punto Easy 2017,30 000 DT,94000,Fiat,Punto,Essence,5,Blanc,Compacte,Le compacte Italien par excellence,https://www.tayara.tn/listings/voitures-9/415f4b05-5ff7-4424-a3d2-c6cc6eb80412/fiat-punto-easy-2017,2017
35,polo 5 toute option,0 DT,150000,Volkswagen,Polo,Essence,4,Vert,Compacte,a vendre polo 5 toute option 2 vitres électrique,https://www.tayara.tn/listings/voitures-9/ef003c48-9765-4da1-a167-4c54fdde23de/polo-5-toute-option,2004
36,fiat doblo dossier leasing,12 800 DT,10000,Fiat,Doblo,Diesel,5,Blanc,Compacte,860dt par mois sur 5 ans,https://www.tayara.tn/listings/voitures-9/c82e805b-c64b-4d32-959f-e4e4d07dae82/fiat-doblo-dossier-leasing,2020
37,Mercedes Benz W 123,8 500 DT,760000,Mercedes-Benz,Classe E,Diesel,8,Blanc,Berline,,https://www.tayara.tn/listings/voitures-9/e6a6a92f-2234-498d-8ada-9e465d22cd14/mercedes-benz-w-123,1984
38,Voiture 106 importée,8 600 DT,143000,Peugeot,106,Essence,5,Vert,Berline,"A vendre voiture 106 importée, en bonne état, salon en cuir, vidange et changement des chaînes récemment effectués, prix légèrement négociable. Non sérieux s'abstenir.",https://www.tayara.tn/listings/voitures-9/3e772de2-1d16-40f3-b3e4-f36904a792f2/voiture-106-import%C3%A9e,1995
39,Megane 3,0 DT,217,Renault,Megane,Diesel,5,Noir,Compacte,⚠️ une belle megane 3 a vendre,https://www.tayara.tn/listings/voitures-9/f41325ef-4dbf-43e0-a418-f2d7e08e1e90/megane-3,2010
40,21733134 Hyundai Grand I10,33 000 000 DT,45000000,Hyundai,Grand i10,Essence,111111,Gris,Cabriolet,Hyundai Grand I10,https://www.tayara.tn/listings/voitures-9/102607a1-db96-421a-800c-afd06ca9927d/21733134-hyundai-grand-i10,2017
41,Megane,11 111 111 DT,247000,Renault,Megane,Essence,6,Bleu,Berline,Renault Megane essence phase 2,https://www.tayara.tn/listings/voitures-9/70f3b570-41c8-41f5-8197-3b3a65a604b6/megane,2006
42,307 hdi an2003 toutes options très bonne état 222222km,17 300 DT,222222,Peugeot,307,Diesel,6,Noir,Berline,307 hdi,https://www.tayara.tn/listings/voitures-9/80d52e37-ff77-4870-a285-aff6115e2ecf/307-hdi-an2003-toutes-options-tr%C3%A8s-bonne-%C3%A9tat-222222km,2002
43,Audi tt,0 DT,140,Audi,TT,Essence,10,Noir,Utilitaire,Voiture très puissante sport audi tt sligne yeser tayara ndhifa Km137 tou d'origine je préfère échange. Avec voiture même valeur merci 25503628,https://www.tayara.tn/listings/voitures-9/1f98742c-ca0d-4ddf-b4ba-8319e83a6d3b/audi-tt,2001
44,404 baché,9 000 DT,1000000,Peugeot,404,Diesel,8,Manuelle,<1.0,404 baché en moyen etat,https://www.tayara.tn/listings/voitures-9/4be34447-f4fe-44ae-b5a5-9d9fdfeaa018/404-bach%C3%A9,1985
45,Av clio 4 27053085,33 000 000 DT,78000,Renault,Clio,Essence,5,Gris,Berline,Av clio4 tts options très propre,https://www.tayara.tn/listings/voitures-9/5edb8cfd-3e5a-4b82-b707-85556b7a2eb5/av-clio-4-27053085,2017
46,207 essence a vendre ou echange,22 DT,165000,Peugeot,207,Essence,6,Noir,Berline,a vendre 207 essence tres bon etat,https://www.tayara.tn/listings/voitures-9/82f97066-8514-42b6-ae9a-003dceff2d09/207-essence-a-vendre-ou-echange,2007
47,saxo,0 DT,180620,Citroen,Saxo,Essence,5,Non dédouanné,Manuelle,,https://www.tayara.tn/listings/voitures-9/b383b0e8-5f22-4627-9117-f047b741191c/saxo,1999
48,Passat tdi toute option,0 DT,170000,Volkswagen,Passat,Diesel,5,Blanc,Autres,A vendre passat tdi bande rouge highline bleumotion,https://www.tayara.tn/listings/voitures-9/73fd4c55-c5ae-4356-a02b-73d7e62aaa53/passat-tdi-toute-option,2013
49,Symbole noire première main,28 DT,119000,Renault,Symbol,Essence,5,Noir,Autres,A vendre symbol noire avec kilométrage,https://www.tayara.tn/listings/voitures-9/84a17474-5412-4b5a-aa23-5d68ec6b4ac0/symbole-noire-premi%C3%A8re-main-,2016
50,Je cherche haval h6 sur leasing,0 DT,20000,Hummer,H2,Essence,8,Blanc,4 x 4,Je cherche haval h6 sur leasing,https://www.tayara.tn/listings/voitures-9/4c24c715-a55e-4df4-809b-ac9b0f97e2f5/je-cherche-haval-h6-sur-leasing,2020
51,Opel corsa E encore sur leasing.,19 800 DT,105000,Opel,Corsa,Essence,5,Vert,Berline,■ A vendre Opel Corsa E reste à payer 17 mois traite 630 :,https://www.tayara.tn/listings/voitures-9/334747a4-66ab-470a-ab5b-6fae924a8044/opel-corsa-e-encore-sur-leasing-,2016
52,Mercedes sprinter fourssa,9 000 DT,218652,Mercedes-Benz,Sprinter,Diesel,9,Blanc,Compacte,karihba indifa imtaih iksiba fourssa prix fixe 9000 mawjouda fil Kairouan sentre appeler 50070146,https://www.tayara.tn/listings/voitures-9/ea2f19de-275b-424d-82b6-788424577cea/mercedes-sprinter-fourssa,99
53,KIA RIO SEDAN PREMIÈRE MAIN À L'ÉTAT NEUF,0 DT,76000,Kia,Rio,Essence,5,Manuelle,1.4,A RIO SEDAN⛔️,https://www.tayara.tn/listings/voitures-9/a9a12424-c4d4-4cc0-bad2-2761fa2b8648/kia-rio-sedan-premi%C3%A8re-main-%C3%A0-l'%C3%A9tat-neuf,2018
54,Golf 7 TDI état irréprochable !,0 DT,200000,Volkswagen,Golf 7,Diesel,5,Gris,Berline,A vendre golf 7 1.6 tdi Bluemotion 140 cv.din tt options importée en 2017,https://www.tayara.tn/listings/voitures-9/eacd153a-edeb-4c8f-9d37-19b1322cdf6a/golf-7-tdi-%C3%A9tat-irr%C3%A9prochable-,2014
55,ssang yong,39 000 DT,200000,Ssangyong,Actyon,Diesel,6,Noir,4 x 4,1 er main,https://www.tayara.tn/listings/voitures-9/d637fb17-6e5d-4c24-b565-0ca41f0d0146/ssang-yong,2016
56,PASSAT TDI 1 er main lil Kasseb,33 600 DT,135000,Volkswagen,Passat,Diesel,6,Noir,Berline,"Volkswagen PASSAT TDI (6 CV) Diesel, Année 2008 première main (4 ans kasebha nsibi w 8 ans kasebha ana)",https://www.tayara.tn/listings/voitures-9/36312a3c-632a-420a-a0db-56ec24c82f63/passat-tdi-1-er-main-lil-kasseb,2008
57,A vendre citroen c elysee,53 504 491 DT,60000,Citroen,C-Elysée,Essence,5,Gris,Compacte,A vendre citroen c elysee nthifa 3al5er kol chy d'origine mte3 dar mazlt garntie w vidonge fi darr te3ha,https://www.tayara.tn/listings/voitures-9/0c048e12-2c31-4096-8ce1-136a92eb569a/a-vendre-citroen-c-elysee,2019
58,clio shippie poinçone,7 000 DT,230,Renault,Clio,Essence,5,Bleu,Compacte,clio shipie ponconee,https://www.tayara.tn/listings/voitures-9/d668a9f9-6a2a-4baf-bd2e-8d61d3e6fb9c/clio-shippie-poin%C3%A7one,1994
59,stafet,0 DT,285000,Renault,Estafette,Diesel,8,Jaune,Autres,stafet renault master moteur iveco,https://www.tayara.tn/listings/voitures-9/63a57ee1-f70a-495e-a48e-5f1784519f14/stafet,1998
60,Kia rio,36 700 DT,129,Kia,Rio,Essence,5,Marron,Autres,Très propre Kia rio,https://www.tayara.tn/listings/voitures-9/c5d3f0fa-5d74-4ff8-ba02-ec167cf9d8b8/kia-rio,2015
61,nemo,19 000 DT,180,Citroen,Nemo,Diesel,6,Blanc,Manuelle,karhba ndifa tt option,https://www.tayara.tn/listings/voitures-9/9f58e870-6927-410a-8383-3f5c5ff5c389/nemo,2013
62,Peugeot 205,6 800 DT,280000,Peugeot,205,Diesel,5,Gris,Autres,mazout,https://www.tayara.tn/listings/voitures-9/efce0af8-cb71-4c0b-8792-bbc699a5455d/peugeot-205,1999
63,KIA RIO COUPÉ PREMIÈRE MAIN EN EXCELLENT ÉTAT,0 DT,115000,Kia,Rio,Essence,5,Manuelle,1.4,KIA RIO COUPÉE⛔️,https://www.tayara.tn/listings/voitures-9/3ccf5aa1-4a1f-40e4-900f-2038ae6c3044/kia-rio-coup%C3%A9-premi%C3%A8re-main-en-excellent-%C3%A9tat,2014
64,Touareg v6 tdi,0 DT,131000,Volkswagen,Touareg,Diesel,12,Bleu,4 x 4,Très bonne état,https://www.tayara.tn/listings/voitures-9/c9dafbaf-38e1-4382-87d1-6e99e24fe616/touareg-v6-tdi,2006
65,ford mondeo américain,0 DT,250,Ford,Mondeo,Essence,8,Noir,Autres,a vendre ford mondeo américain,https://www.tayara.tn/listings/voitures-9/22add51d-5ff9-4c93-9dd3-ca15d66ac043/ford-mondeo-am%C3%A9ricain,2010
66,citroen c 3 neuuf,38 DT,73,Citroen,C3,Essence,5,Gris,Compacte,avendre c 3 tt option,https://www.tayara.tn/listings/voitures-9/3376d22b-520f-4436-889d-35da84ad1f6a/citroen-c-3-neuuf,2017
67,Belle et propre Peugeot 106 importée de France 1 ère main,12 500 DT,180,Peugeot,106,Essence,4,Blanc,Compacte,Àvendre belle et propre Peugeot 106 nouveau modèle importée de France 1 ère main moteur en très bon état très économique et puissant avant train amortisseurs pneus en très bon état intérieur d'origine et propre avec poste USB mp3 tôlerie en bonne état papiers réglé prix à discuter tel 25881888 disponible à Nasr Ariana,https://www.tayara.tn/listings/voitures-9/8d123fd2-665c-4009-8fc1-37268291e085/belle-et-propre-peugeot-106-import%C3%A9e-de-france-1-%C3%A8re-main-,1999
68,C5 phase 3 toute neuve,38 500 DT,153000,Citroen,C5,Diesel,6,Noir,Berline,A vendre c5 phase 3 toute neuve toute options série 181 diesel E-Hdi nouvelle génération,https://www.tayara.tn/listings/voitures-9/adc3ec54-8c84-4eb6-b67e-2f94cffcc160/c5-phase-3-toute-neuve-,2012
69,Voiture auto,0 DT,0,Volkswagen,Golf 6,Diesel,5,Argent,Berline,Je cherche golf diesel boite auto ou bien passat auto tel 28332988,https://www.tayara.tn/listings/voitures-9/607cc7f3-b678-4697-b502-2a49e6a4d9d5/voiture-auto,2011
70,Ford mondeo ghia toutes options première main,25 000 DT,200000,Ford,Mondeo,Essence,8,Doré,Berline,"À vendre ford mondeo première main toutes options (climatronic, retroviseurs rabattables, 4 vitres électriques, chaise réglable automatiquement...) prix légèrement négociable",https://www.tayara.tn/listings/voitures-9/5882a924-0c10-481a-a006-5115f54e9010/ford-mondeo-ghia-toutes-options-premi%C3%A8re-main,2009
71,Je vends ma Polo 7,0 DT,170,Volkswagen,Polo,Essence,5,Rouge,Berline,Polo 7 modelé 2010 en très bon état,https://www.tayara.tn/listings/voitures-9/4f1a2ace-142f-4dec-9e0d-35aa6be2a6f8/je-vends-ma-polo-7-,2010
72,Ds3 trés propre,0 DT,160000,Citroen,DS3,Essence,5,Gris,Compacte,"Voiture ds3 en parfaite état, moteur 4 cylindres",https://www.tayara.tn/listings/voitures-9/96845552-0489-469f-a6db-75836ab67988/ds3-tr%C3%A9s-propre,2011
73,Golf 7,0 DT,130000,Volkswagen,Golf 7,Essence,5,Beige,Avec kilométrage,Golf 7,https://www.tayara.tn/listings/voitures-9/0c1e1dbb-c75c-49a7-a365-b1b451f5de74/golf-7,2014
74,fiat Grandi EZE,0 DT,156,Fiat,Grande Punto,Essence,4,Gris,Berline,toutes auptant,https://www.tayara.tn/listings/voitures-9/b5e3fc2d-ae4d-44c1-970c-208cb5339c15/fiat-grandi-eze,2015
75,BMW e90 318i automatique,49 500 DT,154000,BMW,Serie 3,Essence,8,Noir,Berline,contact : 21526236,https://www.tayara.tn/listings/voitures-9/151ef696-6432-4e26-bd13-84737e05a2ca/bmw-e90-318i-automatique,2011
76,Corando,0 DT,145,Ssangyong,Korando,Diesel,11,Noir,4 x 4,,https://www.tayara.tn/listings/voitures-9/c5e1b921-7e21-4853-bc1a-ce5b5af76e8f/corando,2014
77,✨À'vendre citroen c elysee,22 500 DT,71,Citroen,C-Elysée,Essence,5,Gris,Compacte,✨À'vendre citroen c elysee xclusive✨,https://www.tayara.tn/listings/voitures-9/a4109f00-5526-4e30-bb2c-d97ac17f2cb3/%E2%9C%A8%C3%A0'vendre-citroen-c-elysee,2017
78,mercedes classe a num telf 93680260 ou 94327136,0 DT,0,Mercedes-Benz,Classe A,Diesel,1,Gris,Autres,En bonnne etat,https://www.tayara.tn/listings/voitures-9/8e3cf4b5-bce9-464f-b349-ac2ca6d53fac/mercedes-classe-a-num-telf-93680260-ou-94327136,2014
79,CADDY TDI 2017 1 ERE MAIN NEUF,37 000 DT,132000,Volkswagen,Caddy,Diesel,5,Blanc,Utilitaire,TELEPHONE 50 747 190,https://www.tayara.tn/listings/voitures-9/8cb06476-06f5-468d-9854-fdd4bab1dd45/caddy-tdi-2017-1-ere-main-neuf,2017
80,Clio4 Dynamique,36 800 DT,75000,Renault,Clio,Essence,5,Blanc,Compacte,"particulier met à vendre une très belle Clio4 Dynamique toutes options ( clim, vitres éléc, bleutooth, volant multifonctions, régulateur de vitesse , jantes alu, .......) voiture bien entretenue moteur 4 cylindres",https://www.tayara.tn/listings/voitures-9/0685c488-4482-4d7a-a556-7ceac909fcd3/clio4-dynamique-,2017
81,Ford Figo,19 800 DT,109000,Ford,Fiesta,Essence,5,Rouge,Compacte,À vendre une belle ford figo:,https://www.tayara.tn/listings/voitures-9/975dc428-61fc-40cb-86af-966be1d49a1d/ford-figo,2013
82,Polo 6 A FAIBLE KM,25 000 DT,60000,Volkswagen,Polo,Essence,4,Rouge,Compacte,A vendre VW Polo 6 avec faible kilométrage,https://www.tayara.tn/listings/voitures-9/8a538090-a4c0-456a-86c7-8e67f65120e7/polo-6-a-faible-km,2008
83,207 cc,24 000 DT,160,Peugeot,207 CC,Essence,6,Cabriolet,Avec kilométrage,Toutes options w 7aja nthifa 3ale5er. Climatronique.Abs. Assisté. Vitres electrique. Rétroviseurs electrique. Jantes alu.route de secours jamais touche. Toit manuel..,https://www.tayara.tn/listings/voitures-9/adf24a14-4c9e-4b07-8d2f-d93374b4d4f0/207-cc,2008
84,Golf 5,26 200 DT,300,Volkswagen,Golf 5,Diesel,6,Noir,Compacte,Très bien entretenu vendre ou echange,https://www.tayara.tn/listings/voitures-9/3feee3af-c2bb-44cf-ad25-80300267e5ee/golf-5,2006
85,très belle fiat Uno,5 700 DT,200,Fiat,Uno,Essence,4,Bleu,Compacte,moteur origine emta7a,https://www.tayara.tn/listings/voitures-9/179f0e02-6c27-43e8-92ad-2008378c2ded/tr%C3%A8s-belle-fiat-uno,1995
86,Citroën c1,0 DT,58000,Citroen,C1,Essence,4,Blanc,Berline,"CITROEN C1 C1 VTi 68 Feel berline, BLANC, 4 cv, 5 portes, mise en circulation 2016",https://www.tayara.tn/listings/voitures-9/3609ff27-1229-4489-9d50-81bc9110e84f/citro%C3%ABn-c1,2016
87,FORD FOCUS Titanium,62 DT,45000,Ford,Focus,Essence,7,Marron,Berline,FORD FOCUS Titanium,https://www.tayara.tn/listings/voitures-9/c9aa43ce-12a2-411b-b27f-0d416002ad91/ford-focus-titanium,2018
88,1er main Mercedes c220 seri 215 gazoil jamai accidenté vitr origin 50721465,25 000 DT,300000,Mercedes-Benz,220,Diesel,8,Violet,Berline,Tunis ariana avendre Mercedes c220 kakawet gasoil boit manuelle jamais accidentée 1ermain vitre origins moteur 10/10 vitres origin climat en march type 203 contrat seulement ce numéro 50721465,https://www.tayara.tn/listings/voitures-9/c0020419-2dfa-4229-a714-5854e7877f7f/1er-main-mercedes-c220-seri-215-gazoil-jamai-accident%C3%A9-vitr-origin-50721465,2004
89,Fiat uno,8 200 DT,500000,Fiat,Uno,Essence,4,Blanc,Autres,Une belle fiat uno mta3 ksiba,https://www.tayara.tn/listings/voitures-9/b4093e8f-f8dd-4c02-bb5d-01d1043104d9/fiat-uno,1990
90,Peugeot 406 break essence,19 000 DT,400000,Peugeot,406,Essence,2147483647,Bleu,Autres,Essence et gaz,https://www.tayara.tn/listings/voitures-9/99488a05-ec85-4794-b052-7831eb3c47dc/peugeot-406-break-essence,1999
91,pièces mercedes,1 111 DT,1141,Mercedes-Benz,Classe GLA,Essence,7,Manuelle,1.1,a vendre pare-chocs,https://www.tayara.tn/listings/voitures-9/66e7a942-a9c7-4b30-9b62-0875d28c0252/pi%C3%A8ces-mercedes,2008
92,Megane 3 2012,1 DT,248,Renault,Megane,Diesel,6,Blanc,Autres,"Femme vend megane 3,diesel,blanche, bien entretenu,année 2012",https://www.tayara.tn/listings/voitures-9/be1bc8df-3688-48b6-b6b5-f128df5a4ff9/megane-3-2012,2012
93,Ford mondeo,24 000 DT,0,Ford,Mondeo,Essence,8,Noir,Compacte,Ford mondeo ghia très propre toute options,https://www.tayara.tn/listings/voitures-9/9d0c9070-27bd-4c1d-84ef-b34c2ba28160/ford-mondeo,2008
94,peugeot 203,0 DT,48000,Peugeot,204,Essence,7,Gris,Compacte,1954/96658016,https://www.tayara.tn/listings/voitures-9/ca40fd0a-e865-4dc7-934e-4f4258a54968/peugeot-203,1954
95,Chevrolet Spark importée,20 300 DT,2011,Chevrolet,Spark,Essence,4,Manuelle,1.4,"Je vous offre une belle bijoux importée avec intérieur bien défini, tout options bien entretenu chez maison",https://www.tayara.tn/listings/voitures-9/b7069c99-a821-4d88-9810-b58f89831026/chevrolet-spark-import%C3%A9e,2011
96,A vendre moteur partner,0 DT,180,Citroen,Berlingo,Diesel,5,Argent,Berline,Avendre moteur partner,https://www.tayara.tn/listings/voitures-9/2faf8038-1eff-444d-8733-991a870e54e2/a-vendre-moteur-partner,20
97,Citroën,18 000 DT,40000,Citroen,Jumper,Diesel,0,Blanc,Autres,Citroën jumper,https://www.tayara.tn/listings/voitures-9/90e817b2-706c-441d-81b4-8cc51a53e32e/citro%C3%ABn,2008
98,BMW 316i coupée,43 000 DT,108000,BMW,Serie 3,Essence,6,Gris,Compacte,Voiture bien entretenue et en bonne état,https://www.tayara.tn/listings/voitures-9/f7692215-53f0-4a87-a556-aa98414e6e62/bmw-316i-coup%C3%A9e,2009
99,Golf 6 98446188,42 000 DT,110000,Volkswagen,Golf 7,Essence,5,Gris,Autres,110000 km réel,https://www.tayara.tn/listings/voitures-9/79b7c86d-726d-4783-9e36-3a128fe38aa5/golf-6-98446188-,2013
